PLAYER,class,form,2018_Runs,2019_Runs
Aaron Finch,1.0,53.7,134,160
AB de Villiers,3.0,70.0,480,424
Abhishek Sharma,0.0,20.0,63,63
Ajinkya Rahane,2.0,50.3,370,396
Alex Hales,0.0,20.0,148,165
Ambati Rayudu,3.0,69.1,602,521
Andre Russell,2.0,80.4,316,353
Andrew Tye,0.0,20.0,32,19
Axar Patel,0.0,20.0,80,80
Ben Cutting,0.0,20.0,96,90
Ben Stokes,1.0,44.9,196,184
Bhuvneshwar Kumar,0.0,20.0,13,9
Brendon McCullum,0.0,20.0,127,141
Carlos Brathwaite,0.0,20.0,75,71
Chris Gayle,2.0,76.6,368,393
Chris Lynn,3.0,67.6,491,442
Chris Morris,0.0,20.0,46,25
Chris Woakes,0.0,20.0,17,12
Colin de Grandhomme,0.0,20.0,131,143
Colin Munro,0.0,20.0,63,64
Corey Anderson,0.0,20.0,17,11
Dan Christian,0.0,20.0,26,16
D'Arcy Short,0.0,20.0,115,101
David Miller,0.0,20.0,74,70
Deepak Chahar,0.0,20.0,50,37
Deepak Hooda,0.0,20.0,87,84
Dinesh Karthik,3.0,58.6,498,463
Dwayne Bravo,1.0,65.2,141,162
Evin Lewis,2.0,71.2,382,398
Faf du Plessis,0.0,20.0,162,180
Gautam Gambhir,0.0,20.0,85,81
Glenn Maxwell,1.0,65.1,169,183
Harbhajan Singh,0.0,20.0,29,18
Hardik Pandya,2.0,56.2,260,311
Harshal Patel,0.0,20.0,60,61
Heinrich Klaasen,0.0,20.0,57,46
Ishan Kishan,2.0,69.1,275,319
Jason Roy,0.0,20.0,120,106
Jaydev Unadkat,0.0,20.0,49,32
Jofra Archer,0.0,20.0,15,9
Jos Buttler,3.0,60.9,548,490
JP Duminy,0.0,20.0,36,20
Kane Williamson,3.0,57.7,735,692
Karun Nair,2.0,56.5,301,344
Kedar Jadhav,0.0,20.0,24,15
Kieron Pollard,0.0,20.0,133,156
KL Rahul,3.0,69.2,659,529
Krishnappa Gowtham,1.0,71.4,126,123
Krunal Pandya,2.0,64.9,228,253
Mahipal Lomror,0.0,20.0,20,12
Manan Vohra,0.0,20.0,55,42
Mandeep Singh,2.0,51.6,252,282
Manish Pandey,2.0,41.5,284,332
Manoj Tiwary,0.0,20.0,47,26
Marcus Stoinis,0.0,20.0,99,95
Mayank Agarwal,1.0,55.0,120,110
Mayank Markande,0.0,20.0,21,14
Mitchell Johnson,0.0,20.0,16,11
Moeen Ali,0.0,20.0,77,73
Mohammad Nabi,0.0,20.0,18,12
Mohammed Siraj,0.0,20.0,25,15
MS Dhoni,3.0,60.7,455,416
Nitish Rana,2.0,61.8,304,344
Parthiv Patel,0.0,20.0,153,168
Piyush Chawla,0.0,20.0,27,18
Prithvi Shaw,2.0,68.6,245,282
Quinton de Kock,0.0,20.0,201,211
Rahul Tewatia,0.0,20.0,50,34
Rahul Tripathi,2.0,53.1,226,244
Rashid Khan,0.0,20.0,59,48
Ravichandran Ashwin,1.0,56.9,102,98
Ravindra Jadeja,0.0,20.0,89,86
Rinku Singh,0.0,20.0,29,18
Rishabh Pant,3.0,72.2,684,593
Robin Uthappa,2.0,70.1,351,373
Rohit Sharma,2.0,60.1,286,342
Sam Billings,0.0,20.0,108,98
Sanju Samson,3.0,53.1,441,405
Sarfaraz Khan,0.0,20.0,51,40
Shakib Al Hasan,2.0,56.1,239,279
Shane Watson,3.0,69.5,555,510
Shardul Thakur,0.0,20.0,15,10
Shikhar Dhawan,3.0,64.4,497,445
Shivam Mavi,0.0,20.0,13,9
Shreevats Goswami,0.0,20.0,52,40
Shreyas Gopal,0.0,20.0,50,32
Shreyas Iyer,3.0,58.9,411,402
Shubman Gill,2.0,58.1,203,213
Stuart Binny,0.0,20.0,44,21
Sunil Narine,2.0,83.5,357,383
Suresh Raina,3.0,57.5,445,405
Suryakumar Yadav,3.0,66.4,512,464
Tim Southee,0.0,20.0,52,42
Tom Curran,0.0,20.0,23,14
Vijay Shankar,2.0,51.9,212,220
Virat Kohli,3.0,59.6,530,488
Washington Sundar,0.0,20.0,65,64
Wriddhiman Saha,1.0,60.7,122,115
Yusuf Pathan,2.0,59.2,260,296
Yuvraj Singh,0.0,20.0,65,67
